source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/6_sastra/4_dharma/smrti/nars2_pu.htm,6_sastra/4_dharma/smrti/nars2_pu.htm,120051,107602,95333,24718,14690,12449,12269,0,0
data/raw/gretil/6_sastra/4_dharma/smrti/pars2_pu.htm,6_sastra/4_dharma/smrti/pars2_pu.htm,85448,73003,63261,22187,10132,12445,9742,0,0
data/raw/gretil/6_sastra/4_dharma/smrti/visnu_pu.htm,6_sastra/4_dharma/smrti/visnu_pu.htm,217027,185925,140159,76868,23276,31102,45766,0,0
data/raw/gretil/6_sastra/4_dharma/smrti/yajn2_pu.htm,6_sastra/4_dharma/smrti/yajn2_pu.htm,134893,117525,101440,33453,15051,17368,16085,0,0
data/raw/gretil/6_sastra/5_artha/kautil_u.htm,6_sastra/5_artha/kautil_u.htm,559211,529076,455021,104190,50943,30135,74055,0,0
data/raw/gretil/6_sastra/6_kama/kamasutu.htm,6_sastra/6_kama/kamasutu.htm,195693,175117,168879,26814,18284,20576,6238,0,0
data/raw/gretil/6_sastra/7_ayur/anandk_u.htm,6_sastra/7_ayur/anandk_u.htm,765102,699557,615258,149844,77206,65545,84299,0,0
data/raw/gretil/6_sastra/7_ayur/bhavpr_u.htm,6_sastra/7_ayur/bhavpr_u.htm,52795,44689,43140,9655,5616,8106,1549,0,0
data/raw/gretil/6_sastra/7_ayur/caraka_u.htm,6_sastra/7_ayur/caraka_u.htm,361923,339961,311877,50046,38217,21962,28084,0,0
data/raw/gretil/6_sastra/7_ayur/vagaah_u.htm,6_sastra/7_ayur/vagaah_u.htm,1115319,1033523,927408,187911,92996,81796,106115,0,0
data/raw/gretil/6_sastra/7_ayur/rasarnpu.htm,6_sastra/7_ayur/rasarnpu.htm,174794,158704,137772,37022,18853,16090,20932,0,0
data/raw/gretil/6_sastra/7_ayur/rasadhpu.htm,6_sastra/7_ayur/rasadhpu.htm,85318,74647,66412,18906,8938,10671,8235,0,0
data/raw/gretil/6_sastra/7_ayur/yogasatu.htm,6_sastra/7_ayur/yogasatu.htm,23503,17982,16732,6771,1681,5521,1250,0,0
data/raw/gretil/6_sastra/8_jyot/aryabh_u.htm,6_sastra/8_jyot/aryabh_u.htm,24256,17647,14786,9470,1576,6609,2861,0,0
data/raw/gretil/6_sastra/8_jyot/bijaganu.htm,6_sastra/8_jyot/bijaganu.htm,35170,27895,24330,10840,2970,7275,3565,0,0
data/raw/gretil/6_sastra/8_jyot/brhajj_u.htm,6_sastra/8_jyot/brhajj_u.htm,96218,84687,5388,90830,917,11531,79299,0,0
data/raw/gretil/6_sastra/8_jyot/brhats_u.htm,6_sastra/8_jyot/brhats_u.htm,504891,443546,372110,132781,38618,61345,71436,0,0
data/raw/gretil/6_sastra/8_jyot/brsphutu.htm,6_sastra/8_jyot/brsphutu.htm,43058,34138,27862,15196,2902,8920,6276,0,0
data/raw/gretil/6_sastra/8_jyot/lilavatu.htm,6_sastra/8_jyot/lilavatu.htm,114014,101730,90521,23493,12736,12284,11209,0,0
data/raw/gretil/6_sastra/8_jyot/surysidu.htm,6_sastra/8_jyot/surysidu.htm,76920,65848,50449,26471,6007,11072,15399,0,0
