file	line_no	token	occurrence_count	context
1_veda/2_bra/satapath/sb_01_u.txt	657	r	1	saṃgacanta āpo hyetāsāṃ r | asaḥ saṃ revatīrjagatībhiḥ pṛcyantāmiti revatya āpo jagatya
1_veda/2_bra/satapath/sb_07_u.txt	2371	t	1	sa yadi saṃvatsarabhṛtaḥ syāt | athābhijuhuyātsarvaṃ vai t adyatsaṃvatsarabhṛtaḥ
1_veda/2_bra/satapath/sb_07_u.txt	1885	v	1	svayamātṛṇā prāṇaḥ svayamātṛṇānabhinihito v ai puruṣo 'nnena ca prāṇena ca
1_veda/2_bra/satapath/sb_08_u.txt	2263	s	1	śāradau tāvṛtūviśvācī ca ghṛtācī cāpsarasāviti dikcopadiśā ceti ha s māha
1_veda/2_bra/satapath/sb_08_u.txt	1275	v	1	ojastriṇava iti | ya eva triṇava stomastaṃ tadupadadhāti tadyattamāhauja iti v | jro vā
1_veda/2_bra/satapath/sb_13_u.txt	1821	s	1	etasyāmuktāyāmutthāya s | daso'dhi prāñco yajamānamabhyāyantyagreṇa havirdhāne
1_veda/2_bra/satapath/sb_13_u.txt	2113	s	1	s | rvasyāvaruddhyai
1_veda/2_bra/satapath/sb_13_u.txt	1771	t	1	t | syai śataṃ rājanyā anucaryo bhavanti tā udgātāram
1_veda/2_bra/satapath/sb_13_u.txt	2427	t	1	no eva t | thā kuryādyadvā udīcīnapravaṇe karoti tadeva pratyucritamagham bhavati
1_veda/2_bra/satapath/sb_13_u.txt	2675	y	1	sa y | di sthāvarā āpo bhavanti sthāpayantyeṣām pāpmānamatha yadi vahanti
1_veda/2_bra/satapath/sb_14_u.txt	547	t	1	yā sṛs | t | au
1_veda/2_bra/satapath/sb_14_u.txt	633	t	1	sṛs | t | au
1_veda/2_bra/satapath/sb_14_u.txt	745	t	1	vratacaryā ya || sṛs | t | au
1_veda/2_bra/satapath/sb_14_u.txt	1047	t	1	vratacaryā yā sṛs | t | au
1_veda/4_upa/brup___u.txt	369	v	2	yad v eva samaḥ pluṣiṇā samo maśakena samo nāgena sama ebhis tribhir lokaiḥ samo 'nena sarveṇa tasmād v eva sāma |
1_veda/4_upa/brup___u.txt	4427	v	1	evaṃ v eṣā gāyatry adhyātmaṃ pratiṣṭhitā |
1_veda/4_upa/chup___u.txt	1439	m	1	paśyema tvā vayaṃ rā hu m ā jyā yo ā iti ||
1_veda/4_upa/chup___u.txt	1461	m	1	paśyema tvā vayaṃ vairā hu m ā jyā yo ā iti ||
1_veda/4_upa/chup___u.txt	2107	v	1	tam u ha paraḥ pratyuvāca kam v ara enam etat santaṃ sayugvānam iva raikvam āttha iti |
1_veda/4_upa/chup___u.txt	3511	v	1	yad v avijñātam ivābhūd ity etāsām eva devatānāṃ samāsa iti tad vidāṃ cakruḥ |
1_veda/4_upa/isup___u.txt	17	v	1	tad ejati tan naijati tad dūre tad v antike |
1_veda/5_vedang/1_srauta/asvss_u.txt	1625	d	1	viśva karman haviṣā vāvṛdhāna iti dve viśva karmā vimanā ā d vihāyāḥ kiṃsvid āsīd adhiṣṭhānam yo naḥ pitā janitā yo vidhātā yā te dhāmāni paramāṇi yavam |
