file	token	count
1_veda/2_bra/pncvbr2u.txt	a	2
1_veda/2_bra/satapath/sb_01_u.txt	a	2
1_veda/2_bra/satapath/sb_03_u.txt	a	1
1_veda/2_bra/satapath/sb_09_u.txt	a	1
1_veda/4_upa/chup___u.txt	a	1
1_veda/5_vedang/1_srauta/sankhssu.txt	a	2
1_veda/5_vedang/2_grhya/kaussu_u.txt	a	4
1_veda/5_vedang/2_paris/avpari_u.txt	a	3
2_epic/mbh/ext/hv_conpu.txt	a	1
2_epic/mbh/mbh_01_u.txt	a	2
2_epic/mbh/mbh_03_u.txt	a	2
2_epic/ramayana/ram_03_u.txt	a	1
2_epic/ramayana/ram_05_u.txt	a	1
2_epic/ramayana/ram_06_u.txt	a	1
2_epic/ramayana/ram_07_u.txt	a	1
3_purana/agp_bi_u.txt	a	13
3_purana/bhagp/bhp_03u.txt	a	1
3_purana/bhagp/bhp_05u.txt	a	1
3_purana/bhagp/bhp_10u.txt	a	1
3_purana/bhagp/bhp_11u.txt	a	1
3_purana/bhagp/bhp_12u.txt	a	1
3_purana/garup1_u.txt	a	2
3_purana/nardp1_u.txt	a	2
3_purana/sivap7_u.txt	a	1
4_rellit/buddh/avsata_u.txt	a	1
4_rellit/buddh/bhivin_u.txt	a	1
4_rellit/buddh/divyav_u.txt	a	1
4_rellit/buddh/vinsutru.txt	a	17
4_rellit/buddh/vinv01_u.txt	a	1
4_rellit/buddh/vinv171u.txt	a	3
4_rellit/buddh/vinv172u.txt	a	2
4_rellit/buddh/vinv_06u.txt	a	1
4_rellit/saiva/kubjt_pu.txt	a	20
4_rellit/saiva/malinivu.txt	a	2
4_rellit/saiva/sivsutru.txt	a	1
4_rellit/saiva/svact_pu.txt	a	2
4_rellit/vaisn/ss1_tatu.txt	a	1
4_rellit/vaisn/ss3_paru.txt	a	1
4_rellit/vaisn/vaimp__u.txt	a	1
5_poetry/1_natya/bharnatu.txt	a	4
5_poetry/2_kavya/bhattiku.txt	a	62
5_poetry/2_kavya/padnscpu.txt	a	9
5_poetry/4_narr/sokss_pu.txt	a	3
5_poetry/5_subhas/msubhs_u.txt	a	8
6_sastra/3_phil/buddh/vakobhau.txt	a	1
6_sastra/3_phil/mimamsa/jaimsutu.txt	a	1
6_sastra/3_phil/saiva/parmartu.txt	a	2
6_sastra/3_phil/saiva/tantralu.txt	a	1
6_sastra/4_dharma/sutra/baudhd_u.txt	a	3
6_sastra/4_dharma/sutra/gautdh_u.txt	a	10
6_sastra/4_dharma/sutra/vasist_u.txt	a	101
6_sastra/5_artha/kautil_u.txt	a	2
6_sastra/6_kama/kamasutu.txt	a	74
6_sastra/7_ayur/vagaah_u.txt	a	888
6_sastra/8_jyot/brhats_u.txt	a	5
1_veda/2_bra/gopbra_u.txt	u	73
1_veda/2_bra/kausibru.txt	u	180
1_veda/2_bra/pncvbr1u.txt	u	48
1_veda/2_bra/pncvbr2u.txt	u	48
1_veda/2_bra/satapath/sb_01_u.txt	u	33
1_veda/2_bra/satapath/sb_02_u.txt	u	17
1_veda/2_bra/satapath/sb_03_u.txt	u	18
1_veda/2_bra/satapath/sb_04_u.txt	u	9
1_veda/2_bra/satapath/sb_05_u.txt	u	8
1_veda/2_bra/satapath/sb_06_u.txt	u	12
1_veda/2_bra/satapath/sb_07_u.txt	u	23
1_veda/2_bra/satapath/sb_08_u.txt	u	40
1_veda/2_bra/satapath/sb_09_u.txt	u	24
1_veda/2_bra/satapath/sb_10_u.txt	u	25
1_veda/2_bra/satapath/sb_11_u.txt	u	11
1_veda/2_bra/satapath/sb_13_u.txt	u	12
1_veda/2_bra/satapath/sb_14_u.txt	u	36
1_veda/3_ara/sankharu.txt	u	27
1_veda/4_upa/brup___u.txt	u	33
1_veda/4_upa/chup___u.txt	u	30
1_veda/4_upa/isup___u.txt	u	2
1_veda/4_upa/kathop_u.txt	u	7
1_veda/4_upa/prasup_u.txt	u	1
1_veda/4_upa/svetu_pu.txt	u	2
1_veda/5_vedang/1_srauta/apsulb_u.txt	u	1
1_veda/5_vedang/1_srauta/asvss_u.txt	u	58
1_veda/5_vedang/1_srauta/sankhssu.txt	u	93
1_veda/5_vedang/1_srauta/vaitss_u.txt	u	20
1_veda/5_vedang/2_grhya/asvgs_u.txt	u	4
1_veda/5_vedang/2_grhya/jaimigsu.txt	u	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	u	8
1_veda/5_vedang/2_grhya/kauthgsu.txt	u	1
1_veda/5_vedang/2_grhya/sankhgsu.txt	u	3
1_veda/5_vedang/2_grhya/vargs_u.txt	u	1
1_veda/5_vedang/2_paris/avpari_u.txt	u	2
