file	line_no	category	matched_span	trigger_tokens	context
3_purana/agp_bi_u.txt	13525	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	13602	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	14081	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	14221	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	14528	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	14887	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15101	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15227	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15371	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15673	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15706	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15795	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	15889	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	16296	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	16576	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	16709	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	17162	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	18184	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	18846	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	18943	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	18990	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	19047	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	19164	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	19403	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	19573	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	19813	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20137	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20300	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20412	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20621	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20773	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20825	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	20927	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	21000	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	21051	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	21343	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	21771	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	22017	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	22383	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	22436	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	22618	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	22837	editorial_or_european	chapter	chapter	chapter
