rank,piece,clean_piece,score,vowel_count,categories
19127,ाञ्चल,ाञ्चल,-11.8688,1,starts_with_dependent_vowel
19132,नपुंसक,नपुंसक,-11.8693,1,contains_special_A
19135,कुर्याद्,कुर्याद्,-11.8694,2,ends_with_virama
19141,ृग्,ृग्,-11.8698,1,starts_with_dependent_vowel;ends_with_virama
19146,▁राज्ञोऽ,राज्ञोऽ,-11.8704,2,contains_special_A
19147,▁प्रसंसन्ति,प्रसंसन्ति,-11.8705,1,contains_special_A
19153,ज्योतिर्,ज्योतिर्,-11.8707,2,ends_with_virama
19161,ेनानेन,ेनानेन,-11.871,3,starts_with_dependent_vowel
19162,ुद्धृत,ुद्धृत,-11.871,2,starts_with_dependent_vowel
19163,▁चतुष्,चतुष्,-11.871,1,ends_with_virama
19166,ोपहित,ोपहित,-11.8711,2,starts_with_dependent_vowel
19171,महद्,महद्,-11.8714,0,ends_with_virama
19173,▁आयुष्मान्,आयुष्मान्,-11.8715,3,ends_with_virama
19175,▁पुमांस,पुमांस,-11.872,2,contains_special_A
19182,ोपसंक्रम,ोपसंक्रम,-11.8727,1,starts_with_dependent_vowel;contains_special_A
19183,ीयतामिति,ीयतामिति,-11.8727,4,starts_with_dependent_vowel
19185,▁सरितां,सरितां,-11.873,2,contains_special_A
19186,▁सुमहद्,सुमहद्,-11.8733,1,ends_with_virama
19188,▁विविधान्,विविधान्,-11.8733,3,ends_with_virama
19189,ाद्दुःख,ाद्दुःख,-11.8734,2,starts_with_dependent_vowel;contains_special_A
19192,त्यजेत्,त्यजेत्,-11.8737,1,ends_with_virama
19198,ब्रूयात्,ब्रूयात्,-11.8742,2,ends_with_virama
19200,ादिव्यवहार,ादिव्यवहार,-11.8742,3,starts_with_dependent_vowel
19211,▁वसुंधराम्,वसुंधराम्,-11.875,2,contains_special_A;ends_with_virama
19212,▁प्रदापयेत्,प्रदापयेत्,-11.875,2,ends_with_virama
19214,तुरंग,तुरंग,-11.8752,1,contains_special_A
19215,ीत्येवं,ीत्येवं,-11.8752,2,starts_with_dependent_vowel;contains_special_A
19224,▁प्रीतिर्,प्रीतिर्,-11.876,2,ends_with_virama
19228,ात्मनस्च,ात्मनस्च,-11.8764,1,starts_with_dependent_vowel
19232,▁कृत्स्नां,कृत्स्नां,-11.8768,2,contains_special_A
19238,िष्यथ,िष्यथ,-11.8771,1,starts_with_dependent_vowel
19240,▁दृग्,दृग्,-11.8772,1,ends_with_virama
19245,ादीनव,ादीनव,-11.8774,2,starts_with_dependent_vowel
19249,▁यत्कृतं,यत्कृतं,-11.8777,1,contains_special_A
19250,▁सार्द्धं,सार्द्धं,-11.8778,1,contains_special_A
19251,ानुवादेन,ानुवादेन,-11.8778,4,starts_with_dependent_vowel
19252,▁दंसित,दंसित,-11.8778,1,contains_special_A
19256,ेकवाक्यत,ेकवाक्यत,-11.8782,2,starts_with_dependent_vowel
19267,नुत्तरायाः,नुत्तरायाः,-11.8793,3,contains_special_A
19275,भिसंबोध,भिसंबोध,-11.88,2,contains_special_A
19279,▁पयस्,पयस्,-11.8806,0,ends_with_virama
19282,ादुभय,ादुभय,-11.8809,2,starts_with_dependent_vowel
19283,मगमत्,मगमत्,-11.881,0,ends_with_virama
19291,प्रतिपत्तेः,प्रतिपत्तेः,-11.8818,2,contains_special_A
19297,ाचार्येण,ाचार्येण,-11.8826,3,starts_with_dependent_vowel
19299,▁तिष्ठेत्,तिष्ठेत्,-11.8828,2,ends_with_virama
19306,▁दुरात्मनः,दुरात्मनः,-11.8831,2,contains_special_A
19317,ाण्स्च,ाण्स्च,-11.8838,1,starts_with_dependent_vowel
19318,▁यदहं,यदहं,-11.8839,0,contains_special_A
19319,▁चंक्रम,चंक्रम,-11.884,0,contains_special_A
19331,▁षड्भिः,षड्भिः,-11.8852,1,contains_special_A
19334,ैर्बाणै,ैर्बाणै,-11.8854,3,starts_with_dependent_vowel
19337,▁यच्,यच्,-11.8857,0,ends_with_virama
19346,विद्वांस,विद्वांस,-11.8864,2,contains_special_A
19351,▁भगवानायुष्मन्तं,भगवानायुष्मन्तं,-11.8869,3,contains_special_A
19360,ाषाढ,ाषाढ,-11.8871,2,starts_with_dependent_vowel
19361,ाज्यभाग,ाज्यभाग,-11.8872,2,starts_with_dependent_vowel
19362,ान्वेषण,ान्वेषण,-11.8873,2,starts_with_dependent_vowel
19364,ोपपादित,ोपपादित,-11.8879,3,starts_with_dependent_vowel
19374,▁संस्पर्स,संस्पर्स,-11.8889,0,contains_special_A
19381,ृषीणां,ृषीणां,-11.8892,3,starts_with_dependent_vowel;contains_special_A
19382,▁संहित,संहित,-11.8892,1,contains_special_A
19383,ोऽंस,ोऽंस,-11.8893,1,starts_with_dependent_vowel;contains_special_A
19384,▁स्वायंभुव,स्वायंभुव,-11.8893,2,contains_special_A
19385,दौःसील्य,दौःसील्य,-11.8893,2,contains_special_A
19388,प्रमेयासंख्येय,प्रमेयासंख्येय,-11.8894,3,contains_special_A
19399,▁एकविंसति,एकविंसति,-11.8901,3,contains_special_A
19405,ांल्लोकान्,ांल्लोकान्,-11.8909,3,starts_with_dependent_vowel;contains_special_A;ends_with_virama
19408,युनक्,युनक्,-11.8911,1,ends_with_virama
19411,ऽउ,ऽउ,-11.8913,1,contains_special_A
19412,ैरङ्ग,ैरङ्ग,-11.8914,1,starts_with_dependent_vowel
19419,▁भगवतोऽन्तिक,भगवतोऽन्तिक,-11.8917,2,contains_special_A
19420,ायुष्मन्सुभूते,ायुष्मन्सुभूते,-11.8917,5,starts_with_dependent_vowel
19432,▁योऽस्मै,योऽस्मै,-11.8922,2,contains_special_A
19434,▁संभवतीति,संभवतीति,-11.8923,2,contains_special_A
19435,देतत्,देतत्,-11.8923,1,ends_with_virama
19438,विधेः,विधेः,-11.8924,2,contains_special_A
19441,ेतावता,ेतावता,-11.8926,3,starts_with_dependent_vowel
19449,ानुवर्तिन,ानुवर्तिन,-11.8933,3,starts_with_dependent_vowel
19458,▁यद्यद्,यद्यद्,-11.8942,0,ends_with_virama
19459,ान्कृत्वा,ान्कृत्वा,-11.8944,3,starts_with_dependent_vowel
19462,▁औत्,औत्,-11.8946,1,ends_with_virama
19463,▁निर्वपेत्,निर्वपेत्,-11.8947,2,ends_with_virama
19473,▁संनिपतित,संनिपतित,-11.896,2,contains_special_A
19474,▁इदानीम्,इदानीम्,-11.8961,3,ends_with_virama
19476,▁यद्वत्,यद्वत्,-11.8964,0,ends_with_virama
19495,▁स्रेयान्,स्रेयान्,-11.8986,2,ends_with_virama
19498,संग्राम,संग्राम,-11.8988,1,contains_special_A
19501,▁तपोधनाः,तपोधनाः,-11.8992,2,contains_special_A
19502,ुज्ज्वल,ुज्ज्वल,-11.8993,1,starts_with_dependent_vowel
19510,▁तादृग्,तादृग्,-11.8998,2,ends_with_virama
19513,मग्रतः,मग्रतः,-11.9002,0,contains_special_A
19515,मुक्तवान्,मुक्तवान्,-11.9003,2,ends_with_virama
19523,ार्त्त,ार्त्त,-11.9013,1,starts_with_dependent_vowel
19525,ोदग्र,ोदग्र,-11.9014,1,starts_with_dependent_vowel
19526,ोपनिषत्,ोपनिषत्,-11.9015,2,starts_with_dependent_vowel;ends_with_virama
19539,नुक्रमात्,नुक्रमात्,-11.9026,2,ends_with_virama
19540,▁षण्,षण्,-11.9026,0,ends_with_virama
19549,▁तदसत्,तदसत्,-11.9033,0,ends_with_virama
19553,ोपजीविन,ोपजीविन,-11.904,3,starts_with_dependent_vowel
19554,ानुसारि,ानुसारि,-11.9041,4,starts_with_dependent_vowel
19557,दृष्टिर्,दृष्टिर्,-11.9044,2,ends_with_virama
19565,दद्याद्,दद्याद्,-11.9048,1,ends_with_virama
19572,ावुभाव,ावुभाव,-11.9055,3,starts_with_dependent_vowel
19573,निःस्वस,निःस्वस,-11.9055,1,contains_special_A
19577,ातित्य,ातित्य,-11.9058,2,starts_with_dependent_vowel
19599,संस्तर,संस्तर,-11.9078,0,contains_special_A
19600,▁उपसंहार,उपसंहार,-11.908,2,contains_special_A
19602,ुषी,ुषी,-11.9081,2,starts_with_dependent_vowel
19605,ीत्यादिना,ीत्यादिना,-11.9083,4,starts_with_dependent_vowel
