path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/tei/transformations/html/sa_varAhamihira-bRhatsaMhitA.txt,gretil,other,301705,7033,263308,tei_unique,,0.700,1.000,0.700,211193.5
data/processed/gretil_devanagari/tei/transformations/html/sa_varAhamihira-tikanikayAtra.txt,gretil,other,11184,456,10016,prefix_in_candidate,6_sastra/8_jyot/tikaniku.txt,0.700,0.200,0.140,1565.8
data/processed/gretil_devanagari/tei/transformations/html/sa_varAhamihira-vivAhapaTala.txt,gretil,other,10604,404,9362,exact,6_sastra/8_jyot/vivahapu.txt,0.700,0.200,0.140,1484.6
data/processed/gretil_devanagari/tei/transformations/html/sa_varAhamihira-yogayAtrA-edjha.txt,gretil,other,56931,2163,50909,tei_unique,,0.700,1.000,0.700,39851.7
data/processed/gretil_devanagari/tei/transformations/html/sa_varAhamihira-yogayAtrA-edpingree.txt,gretil,other,58705,2413,52635,prefix_in_candidate,6_sastra/8_jyot/yogay1_u.txt,0.700,0.200,0.140,8218.7
data/processed/gretil_devanagari/tei/transformations/html/sa_vararuci-zatagAthA.txt,gretil,other,10146,324,8846,tei_unique,,0.700,1.000,0.700,7102.2
data/processed/gretil_devanagari/tei/transformations/html/sa_varSAvastu.txt,gretil,other,28485,338,25587,tei_unique,,0.700,1.000,0.700,19939.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vAsiSThadharmasUtra.txt,gretil,sastra,63162,1640,56764,tei_unique,,1.000,1.000,1.000,63162.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-abhidharmakoza.txt,gretil,sastra,52317,1836,47120,exact,6_sastra/3_phil/buddh/vakobhku.txt,1.000,0.200,0.200,10463.4
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-abhidharmakozabhASya.txt,gretil,sastra,690491,30426,614640,tei_unique,,1.000,1.000,1.000,690491.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-bodhicittotpAdasUtrazAstra.txt,gretil,other,53780,786,49214,tei_unique,,0.700,1.000,0.700,37646.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-madhyAntavibhAgakArikAbhASya.txt,gretil,other,51985,1029,47666,tei_unique,,0.700,1.000,0.700,36389.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-paJcaskandhaprakaraNa.txt,gretil,other,12011,273,10927,tei_unique,,0.700,1.000,0.700,8407.7
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-triMzikAvijJaptikArikA-comm.txt,gretil,other,54072,913,49574,tei_unique,,0.700,1.000,0.700,37850.4
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-triMzikAvijJaptikArikA.txt,gretil,other,2590,94,2319,exact,6_sastra/3_phil/buddh/bsa018_u.txt,0.700,0.200,0.140,362.6
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-trisvabhAvanirdeza.txt,gretil,other,3309,119,3013,exact,6_sastra/3_phil/buddh/bsa019_u.txt,0.700,0.200,0.140,463.3
data/processed/gretil_devanagari/tei/transformations/html/sa_vasubandhu-viMzatikA-vijJaptimAtratAsiddhi.txt,gretil,other,12592,232,11278,tei_unique,,0.700,1.000,0.700,8814.4
data/processed/gretil_devanagari/tei/transformations/html/sa_vasudhArAdhAraNI-alt.txt,gretil,other,10913,167,9752,tei_unique,,0.700,1.000,0.700,7639.1
data/processed/gretil_devanagari/tei/transformations/html/sa_vasudhArAdhAraNI-gilgit.txt,gretil,other,5105,65,4586,tei_unique,,0.700,1.000,0.700,3573.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vasudhArAdhAraNI.txt,gretil,other,23555,323,20840,tei_unique,,0.700,1.000,0.700,16488.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vasugupta-spandakArikA-comm.txt,gretil,other,69037,1550,63037,tei_unique,,0.700,1.000,0.700,48325.9
data/processed/gretil_devanagari/tei/transformations/html/sa_vasugupta-spandakArikA.txt,gretil,other,4542,166,4067,exact,6_sastra/3_phil/saiva/spandkau.txt,0.700,0.200,0.140,635.9
data/processed/gretil_devanagari/tei/transformations/html/sa_vAtsyAyana-kAmasUtra-ednirnaya.txt,gretil,other,124754,2528,109314,tei_unique,,0.700,1.000,0.700,87327.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vAtsyAyana-kAmasUtra.txt,gretil,other,136690,2920,120876,tei_unique,,0.700,1.000,0.700,95683.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vAtUlanAtha-vAtUlanAthasUtra-comm.txt,gretil,other,27597,519,24827,tei_unique,,0.700,1.000,0.700,19317.9
data/processed/gretil_devanagari/tei/transformations/html/sa_veGkaTanAtha-nyAyaparizuddhibhUmikA-13-5.txt,gretil,other,162510,3435,149368,tei_unique,,0.700,1.000,0.700,113757.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vidyAkara-subhASitaratnakoza.txt,gretil,other,286104,7245,248490,prefix_in_candidate,5_poetry/5_subhas/vidsrgau.txt,0.700,0.200,0.140,40054.6
data/processed/gretil_devanagari/tei/transformations/html/sa_vidyAkarazAnti-tarkasopAna.txt,gretil,sastra,36483,543,33272,tei_unique,,1.000,1.000,1.000,36483.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vidyAnAtha-pratAparudrIya.txt,gretil,other,208985,6724,189801,tei_unique,,0.700,1.000,0.700,146289.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vidyAsthAnopamasUtra.txt,gretil,other,1988,56,1763,exact,4_rellit/buddh/vsths_tu.txt,0.700,0.200,0.140,278.3
data/processed/gretil_devanagari/tei/transformations/html/sa_vijJAnabhairava.txt,gretil,other,13950,499,12417,exact,6_sastra/3_phil/saiva/vijnbhau.txt,0.700,0.200,0.140,1953.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vijJAnabhikSu-sAMkhyasAra.txt,gretil,other,45655,1256,41467,tei_unique,,0.700,1.000,0.700,31958.5
data/processed/gretil_devanagari/tei/transformations/html/sa_vijJAnezvara-mitAkSarA.txt,gretil,other,1001920,22044,903889,tei_unique,,0.700,1.000,0.700,701344.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vimalakIrtinirdeza.txt,gretil,other,141847,2311,128786,tei_unique,,0.700,1.000,0.700,99292.9
data/processed/gretil_devanagari/tei/transformations/html/sa_vimalakIrtinirdezasUtra.txt,gretil,other,138326,2091,126710,tei_unique,,0.700,1.000,0.700,96828.2
data/processed/gretil_devanagari/tei/transformations/html/sa_vimalamitra-abhidharmadIpa-1-383.txt,gretil,sastra,33774,1179,30569,prefix_in_candidate,6_sastra/3_phil/buddh/vabhdilu.txt,1.000,0.200,0.200,6754.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vimalamitra-abhidharmadIpa-comm.txt,gretil,sastra,316559,6221,289686,tei_unique,,1.000,1.000,1.000,316559.0
data/processed/gretil_devanagari/tei/transformations/html/sa_vimalamitra-abhidharmadIpa.txt,gretil,sastra,51033,1770,46330,exact,6_sastra/3_phil/buddh/vabhdiku.txt,1.000,0.200,0.200,10206.6
data/processed/gretil_devanagari/tei/transformations/html/sa_viMzatikAkArikA.txt,gretil,other,1842,69,1629,exact,6_sastra/3_phil/buddh/bsa023_u.txt,0.700,0.200,0.140,257.9
data/processed/gretil_devanagari/tei/transformations/html/sa_viMzikAvRtti.txt,gretil,other,1890,68,1674,exact,6_sastra/3_phil/buddh/bsa022_u.txt,0.700,0.200,0.140,264.6
data/processed/gretil_devanagari/tei/transformations/html/sa_vinayasUtra-1pravrajyAvastu.txt,gretil,other,115586,1630,103634,tei_unique,,0.700,1.000,0.700,80910.2
data/processed/gretil_devanagari/tei/transformations/html/sa_vinayasUtra.txt,gretil,other,209001,12199,186648,tei_unique,,0.700,1.000,0.700,146300.7
data/processed/gretil_devanagari/tei/transformations/html/sa_vinayavinizcayaupAliparipRcchA.txt,gretil,other,7314,97,6723,tei_unique,,0.700,1.000,0.700,5119.8
data/processed/gretil_devanagari/tei/transformations/html/sa_vINAzikhatantra.txt,gretil,rellit,34016,1241,30174,tei_unique,,0.700,1.000,0.700,23811.2
data/processed/gretil_devanagari/tei/transformations/html/sa_vinItadeva-saMtAnAntarasiddhiTIkA.txt,gretil,other,40718,677,37350,tei_unique,,0.700,1.000,0.700,28502.6
data/processed/gretil_devanagari/tei/transformations/html/sa_viSNudharma.txt,gretil,sastra,221177,16947,193440,exact,4_rellit/vaisn/vdhapadu.txt,1.000,0.200,0.200,44235.4
"data/processed/gretil_devanagari/tei/transformations/html/sa_viSNudharmottarapurANa-2,127.txt",gretil,other,4636,167,4087,exact,3_purana/vd2127_u.txt,0.700,0.200,0.140,649.0
"data/processed/gretil_devanagari/tei/transformations/html/sa_viSNudharmottarapurANa3,343-353.txt",gretil,other,63178,3497,54120,tei_unique,,0.700,1.000,0.700,44224.6
data/processed/gretil_devanagari/tei/transformations/html/sa_viSNupurANa-crit.txt,gretil,other,538490,19757,477820,prefix_in_candidate,3_purana/vipce_au.txt,0.700,0.200,0.140,75388.6
data/processed/gretil_devanagari/tei/transformations/html/sa_viSNupurANa.txt,gretil,other,525622,18213,468432,prefix_in_candidate,3_purana/visnup_u.txt,0.700,0.200,0.140,73587.1
data/processed/gretil_devanagari/tei/transformations/html/sa_viSNusmRti.txt,gretil,other,245821,12633,211921,tei_unique,,0.700,1.000,0.700,172074.7
data/processed/gretil_devanagari/tei/transformations/html/sa_viSNuzarman-paJcatantra.txt,gretil,rellit,346125,8517,300778,tei_unique,,0.700,1.000,0.700,242287.5
