freeze_id,relative_path,canonical_hash,script,condition,representation_path,representation_hash,byte_count,char_count,line_count,boundary_path,boundary_hash,boundary_count,boundary_semantics
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_09_u.txt,8676a4907d13de19973a34fe9d4283d03cc1bf6f4a6da431d78bc3adad22bd1f,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/2_bra/satapath/sb_09_u.txt,cfb196bf0f03ab45e11d8c128c3ed9c635c3e7c7ba1764bf125c9f40caee44cf,220402,75530,2699,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_10_u.txt,4455af8c6424dfb56df0ae5f92e9e773aeae22359e1e4ffe36fa388d13719aa5,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/2_bra/satapath/sb_10_u.txt,d8ffa20116fe5f59b003a0b8a0f321f0cc81ebccce97394dce78872b6ead4abf,208145,71107,2581,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_11_u.txt,e80fda09c1a3dc5387e1257b2aad918f8ad9f262f571a843be1cda074f3fde9d,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/2_bra/satapath/sb_11_u.txt,bb8c14444ec5179fd53b9732c0d646e2a3d07549ac761408ef61afe615145520,222034,75892,2813,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_13_u.txt,f444a0f1d5c4ad633e04532851ff6f28012b2273b81ac54bff39cb7e7b8ae183,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/2_bra/satapath/sb_13_u.txt,c82b0e43c3f80cc8b0157bb9519f07be372d0e3d0ba9d5684e003733e2e242d5,219534,75000,2717,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_14_u.txt,eb023adb00545d45c02168e0fa3a5bbc56ad9e28eaf6a4b07103fd236682ee01,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/2_bra/satapath/sb_14_u.txt,b1edd9e35828f153e09be85b144771493b96f8d7f81745b50f68070c517765bd,381416,130406,4877,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/3_ara/sankharu.txt,3242fe23dade298fa771bceb5672a9a0f06a1ec038c3a64ca4645f1eb8580170,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/3_ara/sankharu.txt,eaf98c4df4879ec3fd600f7ec7155532f95dbd4e13f810af1ffddc2abf26aae8,195479,66471,350,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/aitup__u.txt,f13df975f12bff3a12eaa3930416492fdccc7de0d40a9786ab3eb21bb4f14925,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/aitup__u.txt,2bd7b08402b8a731b1ba6afc887cf09af8709dcc3e78d876f42dd37b83e53e3d,13267,4613,285,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/brup___u.txt,7b2c09575b45cbf77f9d9ebc41644ef9584253d927cea93a95b38278d22906d2,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/brup___u.txt,7cf243ad464858fe9e1ba673a1aca919f4b1e2d9780a59431a34cf0ef9f5b580,280145,97123,5435,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/chup___u.txt,359c2d6376c5c24df79bde22d6b23700abcc1c836eadaf8fbc5f07fa3d3757b9,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/chup___u.txt,d84063aa20dc98bfe18bde4795e41c89d8a87d7c00fca1e348573e337ea8e2f8,236854,82302,5017,,,0,
9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/4_upa/isup___u.txt,c89d4066216fbc9b159e2f6fc60e56b3b097103203f498002b687cfd10ca7739,devanagari,continuous,data/representations/gretil/devanagari/continuous/1_veda/4_upa/isup___u.txt,ae9b3d1a645520e03a483400b550727ceec18d925c01382b37597a2c9d6f2fdb,4313,1485,71,,,0,
